DATE,PSALMUSDM
1990-01-01,5.20449506918431
1990-02-01,5.64681883509249
1990-03-01,5.61061114230647
1990-04-01,5.63154520196623
1990-05-01,5.79883309540066
1990-06-01,5.67288232476942
1990-07-01,5.73500015864454
1990-08-01,5.92160407593064
1990-09-01,6.29064388139807
1990-10-01,6.35440771582521
1990-11-01,6.45650301464255
1990-12-01,6.49718478075414
1991-01-01,6.33762275651879
1991-02-01,6.40746500777605
1991-03-01,5.78199052132702
1991-04-01,5.37463955191207
1991-05-01,5.05187378999837
1991-06-01,4.60475273699032
1991-07-01,4.49998566883545
1991-08-01,4.7149749952337
1991-09-01,5.23360828466494
1991-10-01,5.17546112361587
1991-11-01,5.59458103361766
1991-12-01,5.58451228592703
1992-01-01,5.47001097553102
1992-02-01,5.36037667511771
1992-03-01,5.25548788906104
1992-04-01,5.16535969996591
1992-05-01,5.2879672250431
1992-06-01,4.91409659468843
1992-07-01,5.93615097172693
1992-08-01,7.06936608031862
1992-09-01,7.89283003243393
1992-10-01,6.94040691655445
1992-11-01,6.04205318491033
1992-12-01,5.47883720582295
1993-01-01,5.24915301062917
1993-02-01,5.06597515723721
1993-03-01,4.92704377373576
1993-04-01,5.4589800443459
1993-05-01,5.85066454718064
1993-06-01,5.78840313986134
1993-07-01,5.3956785308647
1993-08-01,5.04833804040843
1993-09-01,4.73218194399333
1993-10-01,4.34523468873575
1993-11-01,3.94173858681974
1993-12-01,4.31147183054932
1994-01-01,4.33190807055051
1994-02-01,4.49280777134317
1994-03-01,4.5896714023875
1994-04-01,5.20289526457781
1994-05-01,5.43204376818454
1994-06-01,5.45698544992231
1994-07-01,5.23658561802923
1994-08-01,5.01581102545794
1994-09-01,5.28248973706606
1994-10-01,5.35361818508568
1994-11-01,4.85400808753568
1994-12-01,4.89117750029175
1995-01-01,4.80941409607487
1995-02-01,4.77995814503655
1995-03-01,5.07887084450584
1995-04-01,5.16963313219329
1995-05-01,5.36271078587337
1995-06-01,5.42141434614312
1995-07-01,5.01044855907081
1995-08-01,4.7493570222636
1995-09-01,4.67251747115228
1995-10-01,4.45203283314095
1995-11-01,3.92822269533063
1995-12-01,3.8743275814026
1996-01-01,4.31735858702361
1996-02-01,4.27319068547474
1996-03-01,4.36189913011002
1996-04-01,4.43874834989338
1996-05-01,4.2535007360366
1996-06-01,4.24580663435995
1996-07-01,3.77914726129432
1996-08-01,3.67914371752664
1996-09-01,3.75791353700832
1996-10-01,3.89088256566925
1996-11-01,4.12776876938335
1996-12-01,4.20836104366117
1997-01-01,4.31018438097129
1997-02-01,3.9329303274976
1997-03-01,3.7431539298716
1997-04-01,3.68389694851015
1997-05-01,3.63252704922676
1997-06-01,3.56880109937397
1997-07-01,3.66009553925856
1997-08-01,3.59566056335074
1997-09-01,3.6387030154522
1997-10-01,3.74401085466341
1997-11-01,3.6218684304906
1997-12-01,3.57926097571068
1998-01-01,3.4737757311156
1998-02-01,3.42174722222958
1998-03-01,3.50917942741911
1998-04-01,3.83460444846005
1998-05-01,3.94943646646337
1998-06-01,4.17222479033217
1998-07-01,3.83323713071312
1998-08-01,3.60648934652644
1998-09-01,3.63794227323229
1998-10-01,3.75600759278954
1998-11-01,3.77141215897912
1998-12-01,3.65807055226851
1999-01-01,3.7129177871171
1999-02-01,3.5660621761658
1999-03-01,3.5627843191436
1999-04-01,3.68783926320393
1999-05-01,3.65018128330516
1999-06-01,3.47263694235143
1999-07-01,3.40979541227526
1999-08-01,3.48359603635057
1999-09-01,3.45751809166443
1999-10-01,3.51067539814779
1999-11-01,3.50855937037766
1999-12-01,3.81100986144052
2000-01-01,3.87
2000-02-01,3.9035465815131
2000-03-01,3.94121115856152
2000-04-01,4.01251850010339
2000-05-01,4.05214063779765
2000-06-01,4.01092779062519
2000-07-01,4.05978560011399
2000-08-01,3.8289020129372
2000-09-01,3.23714240710868
2000-10-01,2.94189909521114
2000-11-01,2.87354475254099
2000-12-01,3.02000838278441
2001-01-01,3.05
2001-02-01,3.02134116594161
2001-03-01,3.10001158882837
2001-04-01,3.02609789514659
2001-05-01,2.97359309347734
2001-06-01,2.88534956499296
2001-07-01,2.82612732038223
2001-08-01,2.92279680917769
2001-09-01,2.92010705540687
2001-10-01,2.78865463837538
2001-11-01,2.62130251153967
2001-12-01,2.55605681615151
2002-01-01,2.52
2002-02-01,2.51665102141165
2002-03-01,2.67709208107311
2002-04-01,2.8122203758149
2002-05-01,3.01660967269174
2002-06-01,3.05031799403866
2002-07-01,3.05575610241946
2002-08-01,3.01844719330269
2002-09-01,3.13201814866681
2002-10-01,3.13651040606731
2002-11-01,3.14811774835577
2002-12-01,3.16386859435255
2003-01-01,3.34
2003-02-01,3.25360958561256
2003-03-01,3.18245915545714
2003-04-01,3.18127450328926
2003-05-01,3.24852941176471
2003-06-01,2.68940833016736
2003-07-01,2.39917695473251
2003-08-01,2.49527665317139
2003-09-01,2.87688098495212
2003-10-01,3.16477272727273
2003-11-01,2.96140046411924
2003-12-01,3.11922503725782
2004-01-01,3.23
2004-02-01,3.31988472622478
2004-03-01,3.45480631276901
2004-04-01,3.60838150289017
2004-05-01,3.47730600292826
2004-06-01,3.20790629575403
2004-07-01,3.11432706222865
2004-08-01,3.35380116959064
2004-09-01,3.26461988304094
2004-10-01,3.19242424242424
2004-11-01,3.2280701754386
2004-12-01,3.66884176182708
2005-01-01,3.69
2005-02-01,3.88888888888889
2005-03-01,3.98064516129032
2005-04-01,3.97626582278481
2005-05-01,4.00470957613815
2005-06-01,4.1848998459168
2005-07-01,4.37689969604863
