DATE,PSAWOREUSDM
2008-05-01,305.651
2008-06-01,294.011
2008-07-01,332.267
2008-08-01,315.061
2008-09-01,312.563
2008-10-01,324.722
2008-11-01,333.187
2008-12-01,315.35
2009-01-01,348.135984309503
2009-02-01,318.254986680528
2009-03-01,308.077398290708
2009-04-01,314.666548710145
2009-05-01,330.21839120941
2009-06-01,325.649226946438
2009-07-01,314.711616277922
2009-08-01,313.659485990865
2009-09-01,291.752300560437
2009-10-01,288.240901898734
2009-11-01,309.832781971895
2009-12-01,321.873791852218
2010-01-01,314.605130554283
2010-02-01,306.274042580195
2010-03-01,315.501494641165
2010-04-01,303.622912823424
2010-05-01,306.976633211442
2010-06-01,307.14847901246
2010-07-01,313.709887295082
2010-08-01,320.194175547059
2010-09-01,321.736335581209
2010-10-01,314.313672973542
2010-11-01,276.872827497851
2010-12-01,315.181825396825
2011-01-01,306.919749465834
2011-02-01,292.495690459311
2011-03-01,283.847260354731
2011-04-01,274.182526572824
2011-05-01,286.209230450472
2011-06-01,292.577954945768
2011-07-01,307.39780810955
2011-08-01,318.669735164991
2011-09-01,304.858912643353
2011-10-01,312.685371778148
2011-11-01,315.200485235813
2011-12-01,296.67281096521
2012-01-01,311.712787595425
2012-02-01,316.875297656348
2012-03-01,301.784526584527
2012-04-01,320.456852791878
2012-05-01,331.805027579665
2012-06-01,318.564447915873
2012-07-01,313.18040806818
2012-08-01,323.451800847458
2012-09-01,323.552789882531
2012-10-01,315.017656312759
2012-11-01,326.531419418433
2012-12-01,299.156675105485
2013-01-01,302.02155780382
2013-02-01,304.968381222247
2013-03-01,311.847453954496
2013-04-01,324.082473752072
2013-05-01,357.960344447593
2013-06-01,354.345076018435
2013-07-01,349.241964030831
2013-08-01,345.494614222352
2013-09-01,330.045279468407
2013-10-01,324.300550198047
2013-11-01,332.482055180715
2013-12-01,353.628718036432
2014-01-01,338.54889308759
2014-02-01,340.796703506826
2014-03-01,354.533747601206
2014-04-01,333.983241382889
2014-05-01,331.200238162516
2014-06-01,331.818788283098
2014-07-01,322.316813489704
2014-08-01,319.860989189629
2014-09-01,327.591492221227
2014-10-01,316.652284094698
2014-11-01,337.407457670932
2014-12-01,339.548660507454
2015-01-01,351.466164423254
2015-02-01,336.893975841287
2015-03-01,321.740151598374
2015-04-01,337.29508994709
2015-05-01,331.227088197556
2015-06-01,306.497303242454
