DATE,PLOGOREUSDM
1990-01-01,121.556918797388
1990-02-01,121.308280376875
1990-03-01,128.017487512169
1990-04-01,127.257045982126
1990-05-01,130.367009225232
1990-06-01,136.491251143699
1990-07-01,126.055970898602
1990-08-01,130.532513069965
1990-09-01,134.784641243448
1990-10-01,125.508611476219
1990-11-01,131.439187117663
1990-12-01,142.538458680695
1991-01-01,135.643585023057
1991-02-01,136.327783547314
1991-03-01,133.714764562774
1991-04-01,136.123137545061
1991-05-01,130.270487211939
1991-06-01,131.158619357238
1991-07-01,133.017384484674
1991-08-01,130.914630525192
1991-09-01,133.831377797413
1991-10-01,129.545058820196
1991-11-01,135.390957531348
1991-12-01,137.185405110469
1992-01-01,132.590412394104
1992-02-01,141.59721616889
1992-03-01,142.097953068648
1992-04-01,154.698746332897
1992-05-01,156.808099629691
1992-06-01,167.062333139062
1992-07-01,177.218421790282
1992-08-01,195.966825723891
1992-09-01,192.841613284358
1992-10-01,195.913017389599
1992-11-01,198.053492995319
1992-12-01,195.072971159993
1993-01-01,202.454775346977
1993-02-01,218.727959770012
1993-03-01,219.911096094227
1993-04-01,242.23837627079
1993-05-01,261.767381432467
1993-06-01,272.811127661922
1993-07-01,252.88197471794
1993-08-01,234.43762097656
1993-09-01,226.217965701469
1993-10-01,214.474799852702
1993-11-01,211.294850289778
1993-12-01,225.247146464584
1994-01-01,227.115417720926
1994-02-01,239.642078239997
1994-03-01,228.719221047081
1994-04-01,236.345165263139
1994-05-01,228.790560072682
1994-06-01,219.678679221929
1994-07-01,228.020749480939
1994-08-01,212.549375189094
1994-09-01,219.094921947307
1994-10-01,218.470004174453
1994-11-01,237.081756265876
1994-12-01,226.499041528506
1995-01-01,242.414067366847
1995-02-01,239.863826511431
1995-03-01,255.424480537097
1995-04-01,235.921639848083
1995-05-01,258.070793575045
1995-06-01,243.691617678288
1995-07-01,216.640604533724
1995-08-01,230.326198400722
1995-09-01,228.425801301939
1995-10-01,214.365031075465
1995-11-01,223.51238692002
1995-12-01,218.307908030964
1996-01-01,231.289343533698
1996-02-01,218.506873227602
1996-03-01,241.624743728254
1996-04-01,152.290505784802
1996-05-01,220.12109541946
1996-06-01,224.831998208175
1996-07-01,220.853015464048
1996-08-01,227.132480809506
1996-09-01,231.297206864659
1996-10-01,240.226392224317
1996-11-01,245.506621364999
1996-12-01,201.972313839114
1997-01-01,246.667147954738
1997-02-01,223.807465195883
1997-03-01,233.475957012595
1997-04-01,208.115035358282
1997-05-01,191.967687851173
1997-06-01,203.585471561982
1997-07-01,213.529035127305
1997-08-01,184.177430655075
1997-09-01,169.588880482401
1997-10-01,167.760547144859
1997-11-01,161.487108321638
1997-12-01,153.321804847176
1998-01-01,161.580992022199
1998-02-01,171.258510843894
1998-03-01,163.066815633849
1998-04-01,174.109378552482
1998-05-01,161.581511043992
1998-06-01,165.171615964276
1998-07-01,153.535429316611
1998-08-01,177.423071876878
1998-09-01,175.834218830066
1998-10-01,171.492515220166
1998-11-01,160.250561398958
1998-12-01,161.969380035695
1999-01-01,164.811941492441
1999-02-01,175.796470368972
1999-03-01,168.789685454073
1999-04-01,166.560188097888
1999-05-01,172.311912106069
1999-06-01,168.174965861936
1999-07-01,162.939710206443
1999-08-01,162.165491044749
1999-09-01,165.357062628788
1999-10-01,178.259207312194
1999-11-01,177.629701766745
1999-12-01,181.617661468603
2000-01-01,176.65096597709
2000-02-01,182.642253301213
2000-03-01,183.103690640576
2000-04-01,187.433573283925
2000-05-01,181.644619455845
2000-06-01,184.58726492568
2000-07-01,175.69064819342
2000-08-01,188.486908702248
2000-09-01,196.043627118777
2000-10-01,181.99086597637
2000-11-01,195.422642102158
2000-12-01,190.237335136609
2001-01-01,179.66635415039
2001-02-01,174.484414397378
2001-03-01,166.676571215215
2001-04-01,163.502006185908
2001-05-01,163.716677739177
2001-06-01,163.157682315268
2001-07-01,164.401065247836
2001-08-01,163.83619681102
2001-09-01,159.249634583563
2001-10-01,148.153032440056
2001-11-01,154.429936027734
2001-12-01,154.474850415754
2002-01-01,155.39204856787
2002-02-01,146.919266575951
2002-03-01,146.074965618368
2002-04-01,149.466706750317
2002-05-01,145.781955530565
2002-06-01,136.971486752043
2002-07-01,147.306214840213
2002-08-01,149.275339841255
2002-09-01,148.285701111265
2002-10-01,154.875158923456
2002-11-01,158.135868088197
2002-12-01,155.145566438599
2003-01-01,144.188859971973
2003-02-01,156.070130305911
2003-03-01,155.293650117516
2003-04-01,153.594805658184
2003-05-01,152.189468786619
2003-06-01,153.134418994233
2003-07-01,144.548148451469
2003-08-01,154.94097536035
2003-09-01,147.378857420842
2003-10-01,154.570854297694
2003-11-01,149.45886749281
2003-12-01,151.158956123218
2004-01-01,172.223140652669
2004-02-01,177.819271230109
2004-03-01,168.681441999445
2004-04-01,188.637766697531
2004-05-01,184.383886166604
2004-06-01,183.385999841328
2004-07-01,187.090802795909
2004-08-01,191.205901839329
2004-09-01,186.874536176273
2004-10-01,177.233164403502
2004-11-01,176.1244105358
2004-12-01,186.22946336224
2005-01-01,188.666872273121
2005-02-01,184.437470160734
2005-03-01,181.072395325062
2005-04-01,190.40080584923
2005-05-01,177.959728838843
2005-06-01,180.738818515136
2005-07-01,189.003926957504
2005-08-01,192.005118333813
2005-09-01,189.167255444872
2005-10-01,190.287254793234
2005-11-01,189.503334101054
2005-12-01,192.297101660639
2006-01-01,202.536843268328
2006-02-01,193.069538891692
2006-03-01,200.688314876724
2006-04-01,211.283432804809
2006-05-01,196.776773602418
2006-06-01,189.175592691262
