DATE,PHIDEUSDM
1990-01-01,92.7000122070313
1990-02-01,92.6799926757813
1990-03-01,95.4100036621094
1990-04-01,100
1990-05-01,99.4599914550781
1990-06-01,97.8999938964844
1990-07-01,96.75
1990-08-01,91.8900146484375
1990-09-01,87.6600036621094
1990-10-01,84.5899963378906
1990-11-01,82.8599853515625
1990-12-01,84.8500061035156
1991-01-01,81.6400146484375
1991-02-01,75.8999938964844
1991-03-01,76.6000061035156
1991-04-01,86.4500122070313
1991-05-01,88.7200012207031
1991-06-01,86.7000122070313
1991-07-01,83.9066772460938
1991-08-01,77.5199890136719
1991-09-01,74.0476379394531
1991-10-01,75.3636474609375
1991-11-01,75.2631530761719
1991-12-01,71.2857055664063
1992-01-01,70.7045593261719
1992-02-01,67.8421020507813
1992-03-01,69.7727355957031
1992-04-01,75.952392578125
1992-05-01,80
1992-06-01,76.7727355957031
1992-07-01,76.5714416503906
1992-08-01,72.8684387207031
1992-09-01,77.7200012207031
1992-10-01,80.9800109863281
1992-11-01,80.0500183105469
1992-12-01,81.1428604125977
1993-01-01,79.8684234619141
1993-02-01,81.4117660522461
1993-03-01,81.4782638549805
1993-04-01,81.5999984741211
1993-05-01,80.3499984741211
1993-06-01,76.9545440673828
1993-07-01,76.523811340332
1993-08-01,79.3181838989258
1993-09-01,80.4285736083984
1993-10-01,81.7619018554688
1993-11-01,80.8181838989258
1993-12-01,79.8409118652344
1994-01-01,75.0749969482422
1994-02-01,75.0789489746094
1994-03-01,78.9565200805664
1994-04-01,84.75
1994-05-01,87.3333358764648
1994-06-01,88.75
1994-07-01,90.4523773193359
1994-08-01,89.760871887207
1994-09-01,93.7727279663086
1994-10-01,93.6666641235352
1994-11-01,93.0437469482422
1994-12-01,91.1357116699219
1995-01-01,90.1173782348633
1995-02-01,91.4210510253906
1995-03-01,97.9510879516602
1995-04-01,102.315788269043
1995-05-01,99.613639831543
1995-06-01,92.4318161010742
1995-07-01,85.7125015258789
1995-08-01,82.4565200805664
1995-09-01,82.4285736083984
1995-10-01,82.2045440673828
1995-11-01,77.9642868041992
1995-12-01,73.0460510253906
1996-01-01,73.5595245361328
1996-02-01,75.1275024414063
1996-03-01,77.9880981445313
1996-04-01,84.6575012207031
1996-05-01,87.5568161010742
1996-06-01,82.1484375
1996-07-01,89.6428604125977
1996-08-01,96.0909118652344
1996-09-01,98.9124984741211
1996-10-01,101.510871887207
1996-11-01,89.9700012207031
1996-12-01,90.6857147216797
1997-01-01,90.0227279663086
1997-02-01,93.4868392944336
1997-03-01,99.4625015258789
1997-04-01,98.6818161010742
1997-05-01,89.4404754638672
1997-06-01,81.5714263916016
1997-07-01,80.1086959838867
1997-08-01,83.9047622680664
1997-09-01,84.5397720336914
1997-10-01,86.3478240966797
1997-11-01,89.1805572509766
1997-12-01,82.2857131958008
1998-01-01,66.7894744873047
1998-02-01,77.6184234619141
1998-03-01,82.613639831543
1998-04-01,83.7678604125977
1998-05-01,85.0250015258789
1998-06-01,83.2045440673828
1998-07-01,81.0869598388672
1998-08-01,81.1071395874023
1998-09-01,75.386360168457
1998-10-01,68.2727279663086
1998-11-01,67.4117660522461
1998-12-01,68.0263137817383
1999-01-01,69.1527786254883
1999-02-01,69.8375
1999-03-01,70.7619047619048
1999-04-01,67.1666666666667
1999-05-01,65.975
1999-06-01,66.7619047619048
1999-07-01,68.0795454545455
1999-08-01,72.3568181818182
1999-09-01,77.7619047619048
1999-10-01,80.4464285714286
1999-11-01,79.6428571428571
1999-12-01,77.8571428571429
2000-01-01,76.2828947368421
2000-02-01,75.88125
2000-03-01,77.895
2000-04-01,78.6691176470588
2000-05-01,79.2443181818182
2000-06-01,75.0625
2000-07-01,77.5178571428571
2000-08-01,81.6141304347826
2000-09-01,85.4404761904762
2000-10-01,85.4090909090909
2000-11-01,84.43125
2000-12-01,85.25
2001-01-01,85.320652173913
2001-02-01,84.4875
2001-03-01,93.2727272727273
2001-04-01,101.315789473684
2001-05-01,102.288043478261
2001-06-01,97.5297619047619
2001-07-01,87.8863636363636
2001-08-01,76.9404347826087
2001-09-01,73.0625
2001-10-01,70.8804347826087
2001-11-01,72.875
2001-12-01,69.3421052631579
2002-01-01,68.3522727272727
2002-02-01,72.2434210526316
2002-03-01,80.3
2002-04-01,83.6931818181818
2002-05-01,84.1363636363636
2002-06-01,86.98125
2002-07-01,84.3928571428571
2002-08-01,85.6306818181818
2002-09-01,85.7375
2002-10-01,85.695652173913
2002-11-01,81.20625
2002-12-01,70.6190476190476
2003-01-01,86.1071428571429
2003-02-01,88.5921052631579
2003-03-01,86.7614285714286
2003-04-01,85.3068181818182
2003-05-01,80.2976190476191
2003-06-01,76.7971428571429
2003-07-01,80.6259090909091
2003-08-01,84.5604761904762
2003-09-01,89.4880952380952
2003-10-01,88.1195652173913
2003-11-01,88.8763157894737
2003-12-01,89.1190476190476
2004-01-01,89.0394736842105
2004-02-01,86.0921052631579
2004-03-01,84.5108695652174
2004-04-01,81.25
2004-05-01,80.7635
2004-06-01,82.3336363636363
2004-07-01,85.1138095238095
2004-08-01,86.3068181818182
2004-09-01,85.9125
2004-10-01,84.9714285714286
2004-11-01,84.2261904761905
2004-12-01,83.8913043478261
2005-01-01,81.8065
2005-02-01,82.375
2005-03-01,82.8913043478261
2005-04-01,82.5357142857143
2005-05-01,81.2142857142857
2005-06-01,82.7272727272727
2005-07-01,83.3684210526316
2005-08-01,84.25
2005-09-01,84.0119047619048
2005-10-01,81.8684210526316
2005-11-01,82.35
2005-12-01,82.5952380952381
2006-01-01,83
