DATE,PCOFFROBUSDM
1990-01-01,50.5200004577637
1990-02-01,51.2999992370605
1990-03-01,57.6800003051758
1990-04-01,57.3899993896484
1990-05-01,55.0299987792969
1990-06-01,52.3800010681152
1990-07-01,51.4700012207031
1990-08-01,55.0999984741211
1990-09-01,57.0900001525879
1990-10-01,58.0499992370605
1990-11-01,56.7900009155273
1990-12-01,57.0400009155273
1991-01-01,53.9199981689453
1991-02-01,52.4599990844727
1991-03-01,52.1300010681152
1991-04-01,52.3800010681152
1991-05-01,48.25
1991-06-01,47.0999984741211
1991-07-01,46.4390678405762
1991-08-01,46.6101989746094
1991-09-01,48.1064987182617
1991-10-01,47.4781799316406
1991-11-01,51.6877784729004
1991-12-01,51.4295234680176
1992-01-01,49.4381828308105
1992-02-01,43.2173690795898
1992-03-01,43.0595245361328
1992-04-01,42.3504981994629
1992-05-01,38.7895011901855
1992-06-01,38.0695457458496
1992-07-01,39.5995445251465
1992-08-01,39.9242858886719
1992-09-01,42.3880958557129
1992-10-01,45.4968185424805
1992-11-01,49.0722236633301
1992-12-01,52.0868186950684
1993-01-01,48.1324996948242
1993-02-01,48.2510528564453
1993-03-01,46.859130859375
1993-04-01,45.5071411132813
1993-05-01,46.9085006713867
1993-06-01,47.6486358642578
1993-07-01,50.3938102722168
1993-08-01,59.2909088134766
1993-09-01,63.4243469238281
1993-10-01,60.0490493774414
1993-11-01,62.5320014953613
1993-12-01,62.9466667175293
1994-01-01,60.9142875671387
1994-02-01,62.2505264282227
1994-03-01,66.4621734619141
1994-04-01,72.6384201049805
1994-05-01,96.0476226806641
1994-06-01,113.307716369629
1994-07-01,164.649993896484
1994-08-01,162.679565429688
1994-09-01,182.952850341797
1994-10-01,170.089996337891
1994-11-01,155.309997558594
1994-12-01,130.477142333984
1995-01-01,132.719467163086
1995-02-01,135.217895507813
1995-03-01,146.831741333008
1995-04-01,145.473678588867
1995-05-01,141.886367797852
1995-06-01,129.534088134766
1995-07-01,120.88842010498
1995-08-01,131.282608032227
1995-09-01,116.413497924805
1995-10-01,114.153633117676
1995-11-01,112.78800201416
1995-12-01,94.7236862182617
1996-01-01,91.9940032958984
1996-02-01,100.176467895508
1996-03-01,91.9880981445313
1996-04-01,91.4523773193359
1996-05-01,92.1022720336914
1996-06-01,86.4625015258789
1996-07-01,78.1438064575195
1996-08-01,80.1590881347656
1996-09-01,75.0749969482422
1996-10-01,72.9730453491211
1996-11-01,70.5277786254883
1996-12-01,63.0789489746094
1997-01-01,67.6600036621094
1997-02-01,76.6500015258789
1997-03-01,81.3079986572266
1997-04-01,78.4840927124023
1997-05-01,95.7395172119141
1997-06-01,91.9352416992188
1997-07-01,82.5190887451172
1997-08-01,76.9238128662109
1997-09-01,77.4347610473633
1997-10-01,76.9039154052734
1997-11-01,78.195556640625
1997-12-01,84.6463165283203
1998-01-01,86.0278930664063
1998-02-01,85.79052734375
1998-03-01,84.6718215942383
1998-04-01,90.5980987548828
1998-05-01,92.6439971923828
1998-06-01,84.5459060668945
1998-07-01,78.4040908813477
1998-08-01,79.9823837280273
1998-09-01,80.8761901855469
1998-10-01,80.356819152832
1998-11-01,80.4000015258789
1998-12-01,82.8176498413086
1999-01-01,81.6494750976563
1999-02-01,77.7347368421053
1999-03-01,72.7
1999-04-01,68.8909523809524
1999-05-01,68.1695
1999-06-01,66.1995454545455
1999-07-01,62.2776190476191
1999-08-01,63.7572727272727
1999-09-01,60.4395238095238
1999-10-01,59.2519047619048
1999-11-01,64.3731570996736
1999-12-01,66.4029411764706
2000-01-01,53.6185
2000-02-01,49.6168333333333
2000-03-01,47.1712
2000-04-01,45.225
2000-05-01,45.1886363636364
2000-06-01,43.7195454545455
