DATE,PWOOLFUSDM
2007-09-01,943.0778
2007-10-01,1080.63878181818
2007-11-01,1102.705075
2007-12-01,1097.2649
2008-01-01,1157.3720375
2008-02-01,1154.25287777778
2008-03-01,1135.99501666667
2008-04-01,1129.8393875
2008-05-01,1062.44155555556
2008-06-01,1041.09614285714
2008-07-01,1047.97335
2008-08-01,941.71279
2008-09-01,896.7923
2008-10-01,734.906391666667
2008-11-01,646.579827272727
2008-12-01,666.3869
2009-01-01,623.315757142857
2009-02-01,586.25945
2009-03-01,617.1481125
2009-04-01,686.86275
2009-05-01,761.33705
2009-06-01,741.7344375
2009-07-01,763.61985
2009-08-01,822.566642857143
2009-09-01,867.583477777778
2009-10-01,944.84927
2009-11-01,953.949266666667
2009-12-01,970.083533333333
2010-01-01,1003.2156
2010-02-01,972.809466666667
2010-03-01,1003.86487
2010-04-01,991.82555
2010-05-01,919.4291
2010-06-01,919.51921
2010-07-01,918.354825
2010-08-01,935.5864
2010-09-01,988.230872727273
2010-10-01,1084.7161
2010-11-01,1168.9344
2010-12-01,1266.17384
2011-01-01,1549.39721666667
2011-02-01,1633.11434285714
2011-03-01,1702.98454
2011-04-01,1743.67308333333
2011-05-01,1792.9669875
2011-06-01,1865.43936
2011-07-01,1775.9567
2011-08-01,1655.5855875
2011-09-01,1593.1951875
2011-10-01,1431.32632222222
2011-11-01,1469.25304
2011-12-01,1438.64424
2012-01-01,1502.04555
2012-02-01,1560.82291
2012-03-01,1539.52482
2012-04-01,1437.22036666667
2012-05-01,1340.30085
2012-06-01,1285.4210875
2012-07-01,1297.5259
2012-08-01,1192.08153333333
2012-09-01,1149.4904
2012-10-01,1204.76285
2012-11-01,1259.30153
2012-12-01,1354.1554
2013-01-01,1393.152275
2013-02-01,1374.5907625
2013-03-01,1324.0885
2013-04-01,1208.59286666667
2013-05-01,1158.02851
2013-06-01,1117.66548571429
2013-07-01,1025.2811
2013-08-01,1030.63045
2013-09-01,1159.01323333333
2013-10-01,1198.72038
2013-11-01,1189.59497777778
2013-12-01,1198.149675
2014-01-01,1147.2438375
2014-02-01,1117.205925
2014-03-01,1077.5686875
2014-04-01,1088.01743333333
2014-05-01,1096.8493125
2014-06-01,1073.1732125
2014-07-01,1078.149775
2014-08-01,1069.7510125
2014-09-01,1056.5015
2014-10-01,1044.0121
2014-11-01,1041.97034285714
2014-12-01,1013.932875
2015-01-01,967.0299625
2015-02-01,946.911275
2015-03-01,929.4507
2015-04-01,993.732928571428
2015-05-01,1114.5791375
2015-06-01,1148.1251
2015-07-01,1022.1673
2015-08-01,1022.6807625
2015-09-01,966.744777777778
2015-10-01,956.059066666667
2015-11-01,1002.4530875
2015-12-01,1025.86733333333
2016-01-01,1013.36328
2016-02-01,1017.41575714286
2016-03-01,1035.84087142857
2016-04-01,1087.919175
2016-05-01,1096.7055125
2016-06-01,1094.21021
2016-07-01,1138.138975
2016-08-01,1142.4911
2016-09-01,1147.3969375
2016-10-01,1186.9199375
2016-11-01,1189.2832625
2016-12-01,1206.20824
2017-01-01,1305.62398333333
2017-02-01,1365.4440875
2017-03-01,1454.82935
2017-04-01,1400.9328
2017-05-01,1433.46526666667
2017-06-01,1403.82772222222
2017-07-01,1406.3609
2017-08-01,1470.5977
2017-09-01,1429.7214125
2017-10-01,1463.647
2017-11-01,1517.89529
2017-12-01,1559.024825
2018-01-01,1694.038
2018-02-01,1683.87475
2018-03-01,1608.184
2018-04-01,1599.16045
2018-05-01,1648.87601
2018-06-01,1739.6612
2018-07-01,1689.09485
2018-08-01,1740.13032222222
2018-09-01,1747.123625
2018-10-01,1652.3417375
2018-11-01,1564.96001111111
2018-12-01,1602.83381666667
2019-01-01,1645.678
2019-02-01,1689.741175
2019-03-01,1660.4650125
2019-04-01,1636.68477142857
2019-05-01,1559.61516
2019-06-01,1471.3590375
2019-07-01,1418.31858571429
2019-08-01,1225.28034285714
2019-09-01,1177.632
2019-10-01,1217.158575
2019-11-01,1220.799475
2019-12-01,1207.794625
2020-01-01,1255.18035
2020-02-01,1224.22195714286
2020-03-01,1066.09842222222
2020-04-01,937.327385714286
2020-05-01,899.479175
2020-06-01,916.088425
2020-07-01,895.967866666667
2020-08-01,801.265933333333
2020-09-01,726.024566666667
2020-10-01,933.51415
2020-11-01,1010.4887
2020-12-01,1047.5726
2021-01-01,1103.76004285714
