DATE,PLEADUSDM
1990-01-01,707
1990-02-01,779
1990-03-01,1059
1990-04-01,835
1990-05-01,825
1990-06-01,837
1990-07-01,875
1990-08-01,875
1990-09-01,838
1990-10-01,760
1990-11-01,700
1990-12-01,624
1991-01-01,600
1991-02-01,593
1991-03-01,602
1991-04-01,600
1991-05-01,559.820068359375
1991-06-01,549.43994140625
1991-07-01,549.590087890625
1991-08-01,541
1991-09-01,538.94970703125
1991-10-01,522.19873046875
1991-11-01,506.241180419922
1991-12-01,531.3681640625
1992-01-01,515.671875
1992-02-01,505.746032714844
1992-03-01,523.1494140625
1992-04-01,533.256103515625
1992-05-01,520.75
1992-06-01,551.019287109375
1992-07-01,633.2509765625
1992-08-01,655.278076171875
1992-09-01,624.83984375
1992-10-01,540.45263671875
1992-11-01,462.054107666016
1992-12-01,456.697265625
1993-01-01,436.901947021484
1993-02-01,415.000946044922
1993-03-01,405.427062988281
1993-04-01,422.113708496094
1993-05-01,407.657562255859
1993-06-01,397.061309814453
1993-07-01,389.636352539063
1993-08-01,389.880950927734
1993-09-01,376.340911865234
1993-10-01,386.071441650391
1993-11-01,401.636352539063
1993-12-01,460.375
1994-01-01,491.404754638672
1994-02-01,484.450012207031
1994-03-01,451.086944580078
1994-04-01,440.421051025391
1994-05-01,475.857147216797
1994-06-01,524.477294921875
1994-07-01,579.047607421875
1994-08-01,570.568176269531
1994-09-01,612.954528808594
1994-10-01,640.642883300781
1994-11-01,679.321044921875
1994-12-01,634.375
1995-01-01,664.809509277344
1995-02-01,577.799987792969
1995-03-01,582.04345703125
1995-04-01,605.777770996094
1995-05-01,595.880981445313
1995-06-01,610.272705078125
1995-07-01,622.400024414063
1995-08-01,623.386352539063
1995-09-01,591.25
1995-10-01,639.386352539063
1995-11-01,710.5
1995-12-01,728.026306152344
1996-01-01,709.880981445313
1996-02-01,768.428588867188
1996-03-01,816.700012207031
1996-04-01,812.025024414063
1996-05-01,840.976196289063
1996-06-01,796.575012207031
1996-07-01,783.782592773438
1996-08-01,816.166687011719
1996-09-01,794.261901855469
1996-10-01,741.065246582031
1996-11-01,720.285705566406
1996-12-01,689.357116699219
1997-01-01,691.522705078125
1997-02-01,657.894714355469
1997-03-01,693.552612304688
1997-04-01,641.613647460938
1997-05-01,617.849975585938
1997-06-01,614.047607421875
1997-07-01,633.5
1997-08-01,607.375
1997-09-01,632.880981445313
1997-10-01,598.195678710938
1997-11-01,562.599975585938
1997-12-01,525.738098144531
1998-01-01,530.650024414063
1998-02-01,515.625
1998-03-01,558.977294921875
1998-04-01,571.775024414063
1998-05-01,542.73681640625
1998-06-01,526.476196289063
1998-07-01,543.642883300781
1998-08-01,526.849975585938
1998-09-01,519.454528808594
1998-10-01,493.204559326172
1998-11-01,493.024993896484
1998-12-01,500.605255126953
1999-01-01,491.625
1999-02-01,512.95
1999-03-01,506.795454545455
1999-04-01,517.075
1999-05-01,540.710526315789
1999-06-01,495.454545454545
1999-07-01,495.113636363636
1999-08-01,502.238095238095
1999-09-01,506.5
1999-10-01,496.404761904762
1999-11-01,477.568181818182
1999-12-01,478.735294117647
2000-01-01,471.875
2000-02-01,453.25
2000-03-01,441.84
2000-04-01,423.02
2000-05-01,412.608695652174
2000-06-01,419.554545454545
2000-07-01,453.104761904762
2000-08-01,472.573913043478
2000-09-01,488.047619047619
2000-10-01,484.786363636364
2000-11-01,465.877272727273
2000-12-01,463.53
2001-01-01,478.536363636364
2001-02-01,501.71
2001-03-01,498.845454545455
2001-04-01,477.588888888889
2001-05-01,466.076190476191
2001-06-01,444.733333333333
2001-07-01,462.154545454545
2001-08-01,483.627272727273
2001-09-01,464.805
2001-10-01,468.582608695652
2001-11-01,486.713636363636
2001-12-01,482.905882352941
2002-01-01,511.086363636364
2002-02-01,480.925
2002-03-01,480.675
2002-04-01,472.090476190476
2002-05-01,450.386363636364
2002-06-01,439.983333333333
2002-07-01,446.026086956522
2002-08-01,424.333333333333
2002-09-01,420.542857142857
2002-10-01,418.247826086957
2002-11-01,441.442857142857
2002-12-01,441.209523809524
2003-01-01,444.825
2003-02-01,474.5125
2003-03-01,454.709523809524
2003-04-01,438
2003-05-01,462.325
2003-06-01,467.654761904762
2003-07-01,513.336956521739
2003-08-01,493.7575
2003-09-01,520.961363636364
2003-10-01,587.434782608696
2003-11-01,622.6625
2003-12-01,690.107142857143
2004-01-01,753.559523809524
2004-02-01,885.1525
2004-03-01,878.141304347826
2004-04-01,747.025
2004-05-01,804.092105263158
2004-06-01,863.727272727273
2004-07-01,931.340909090909
2004-08-01,916.619047619048
2004-09-01,932.159090909091
2004-10-01,932.857142857143
2004-11-01,966.306818181818
2004-12-01,972.333333333333
2005-01-01,954.225
2005-02-01,972.975
2005-03-01,1001.69047619048
2005-04-01,980.47619047619
2005-05-01,985.2875
2005-06-01,982.647727272727
2005-07-01,857.52380952381
2005-08-01,887.420454545455
2005-09-01,932.772727272727
2005-10-01,999.404761904762
2005-11-01,1017.84090909091
2005-12-01,1120.15
2006-01-01,1258.14285714286
2006-02-01,1267.4375
2006-03-01,1193.89130434783
2006-04-01,1170.55555555556
2006-05-01,1167.5
2006-06-01,963.613636363636
2006-07-01,1053.2619047619
2006-08-01,1179.31818181818
2006-09-01,1346.52857142857
2006-10-01,1525.65909090909
2006-11-01,1626.02272727273
2006-12-01,1709.15789473684
2007-01-01,1664.34090909091
2007-02-01,1775.075
2007-03-01,1908.97727272727
2007-04-01,1984.15789473684
2007-05-01,2106
2007-06-01,2436.64285714286
2007-07-01,3072.43181818182
