DATE,PTINUSDM
2001-04-01,4949.77777777778
2001-05-01,4951.78947368421
2001-06-01,4829.90476190476
2001-07-01,4343.59090909091
2001-08-01,3929.45454545455
2001-09-01,3698.36842105263
2001-10-01,3749.17391304348
2001-11-01,4059.31818181818
2001-12-01,4022.47058823529
2002-01-01,3867.95454545455
2002-02-01,3724.61111111111
2002-03-01,3850.75
2002-04-01,4026.47619047619
2002-05-01,4152.81818181818
2002-06-01,4303.33333333333
2002-07-01,4313.78260869565
2002-08-01,3832.2380952381
2002-09-01,3961.7619047619
2002-10-01,4242.08695652174
2002-11-01,4228.95238095238
2002-12-01,4227.19047619048
2003-01-01,4445.13636363636
2003-02-01,4572.2
2003-03-01,4592.66666666667
2003-04-01,4561.2
2003-05-01,4733.9175
2003-06-01,4677.86190476191
2003-07-01,4733.15217391304
2003-08-01,4802.475
2003-09-01,4907.25
2003-10-01,5227.4347826087
2003-11-01,5363.325
2003-12-01,6058.40714285714
2004-01-01,6432.4880952381
2004-02-01,6662.7
2004-03-01,7602.20652173913
2004-04-01,8909
2004-05-01,9391.63157894737
2004-06-01,9158.63636363636
2004-07-01,9021.90909090909
2004-08-01,9021.42857142857
2004-09-01,9015.68181818182
2004-10-01,9043.21428571429
2004-11-01,9038.65136363637
2004-12-01,8473.71428571429
2005-01-01,7705.65
2005-02-01,8106.325
2005-03-01,8442.23809523809
2005-04-01,8133.80952380952
2005-05-01,8099.25
2005-06-01,7604.36363636364
2005-07-01,7180.92857142857
2005-08-01,7228.13636363636
2005-09-01,6770.57954545455
2005-10-01,6415.47619047619
2005-11-01,6173.71590909091
2005-12-01,6762.5
2006-01-01,7067.35714285714
2006-02-01,7788.8625
2006-03-01,7949.02173913044
2006-04-01,8859.65277777778
2006-05-01,8793.16666666667
2006-06-01,7858.77272727273
2006-07-01,8356.44047619048
2006-08-01,8436.68181818182
2006-09-01,8975.02380952381
2006-10-01,9809.5
2006-11-01,10038.4090909091
2006-12-01,11125.9473684211
2007-01-01,11331.4545454545
2007-02-01,12890.2
2007-03-01,13787.25
2007-04-01,13952.8421052632
2007-05-01,14162.1428571429
2007-06-01,14078.8333333333
2007-07-01,14732.7272727273
2007-08-01,15046.9772727273
2007-09-01,14989.05
2007-10-01,16068.347826087
2007-11-01,16660.7727272727
2007-12-01,16244.7222222222
2008-01-01,16310.9318181818
2008-02-01,17269.8095238095
2008-03-01,19799.0789473684
2008-04-01,21646.0227272727
2008-05-01,23853.6
2008-06-01,22133.4285714286
2008-07-01,22955.6304347826
2008-08-01,19935
2008-09-01,18306.5909090909
2008-10-01,14423.347826087
2008-11-01,13674.15
2008-12-01,11292.1428571429
2009-01-01,11563.3333333333
2009-02-01,11074.775
2009-03-01,10689.4090909091
2009-04-01,11830.2
2009-05-01,13814.8947368421
2009-06-01,15005.25
2009-07-01,13923.4347826087
2009-08-01,14761.65
2009-09-01,14936.2272727273
2009-10-01,15037.4090909091
2009-11-01,14966.1428571429
2009-12-01,15588.6904761905
2010-01-01,17710.2
2010-02-01,16352.3
2010-03-01,17509.1304347826
2010-04-01,18634.6
2010-05-01,17565.0263157895
2010-06-01,17257.7272727273
2010-07-01,18206.5227272727
2010-08-01,20733.0714285714
2010-09-01,22694.3636363636
2010-10-01,26237.0952380952
2010-11-01,25403.0909090909
2010-12-01,26103.8571428571
2011-01-01,27439.35
2011-02-01,31619.65
2011-03-01,30590.9347826087
2011-04-01,32347.6944444444
2011-05-01,28571.4
2011-06-01,25519.6818181818
2011-07-01,27398.0952380952
2011-08-01,24056.7272727273
2011-09-01,22526.6022727273
2011-10-01,21868.6428571429
2011-11-01,21291.7045454545
2011-12-01,19386.9125
2012-01-01,21547.7023809524
2012-02-01,24293.3095238095
2012-03-01,22985.4318181818
2012-04-01,22114.5263157895
2012-05-01,20295.3409090909
2012-06-01,19255.3947368421
2012-07-01,18546.0909090909
2012-08-01,18675.5568181818
2012-09-01,20771.2625
2012-10-01,21233.6956521739
2012-11-01,20713.0681818182
2012-12-01,22880.8947368421
2013-01-01,24598.8977272727
2013-02-01,24211.7375
2013-03-01,23302
2013-04-01,21589.6428571429
2013-05-01,20781.619047619
2013-06-01,20267.4
2013-07-01,19563.8260869565
2013-08-01,21638.2142857143
2013-09-01,22735.0714285714
2013-10-01,23101.5869565217
2013-11-01,22826.880952381
2013-12-01,22762.125
2014-01-01,22063.8636363636
2014-02-01,22820.675
2014-03-01,23024.3095238095
2014-04-01,23405.2
2014-05-01,23271.25
2014-06-01,22762
2014-07-01,22424.0108695652
2014-08-01,22231.05
2014-09-01,21090.5227272727
2014-10-01,19830.4130434783
2014-11-01,20033.475
2014-12-01,19829.7142857143
2015-01-01,19454.119047619
2015-02-01,18233.9125
2015-03-01,17421.9090909091
2015-04-01,15900.875
2015-05-01,15803.5921052632
2015-06-01,15064.9431818182
2015-07-01,15071.5326086957
2015-08-01,15163.775
2015-09-01,15453.3409090909
2015-10-01,15794.6136363636
2015-11-01,14745.2857142857
2015-12-01,14691.6904761905
2016-01-01,13808.075
2016-02-01,15610.1428571429
2016-03-01,16897.5952380952
2016-04-01,17032.7142857143
2016-05-01,16706.95
2016-06-01,16966.6931818182
2016-07-01,17826.2261904762
2016-08-01,18427.0227272727
2016-09-01,19499.5227272727
2016-10-01,20099.7619047619
2016-11-01,21126.0909090909
2016-12-01,21204.35
2017-01-01,20691.7857142857
2017-02-01,19446.475
2017-03-01,19875.1956521739
2017-04-01,19910.3194444444
2017-05-01,20200.3333333333
2017-06-01,19658.8409090909
2017-07-01,20223.4761904762
2017-08-01,20521
2017-09-01,20796.619047619
2017-10-01,20376.0909090909
2017-11-01,19557.5227272727
2017-12-01,19476.3684210526
2018-01-01,20696.9090909091
2018-02-01,21651.55
2018-03-01,21211.9404761905
2018-04-01,21291.1
2018-05-01,20858.8333333333
2018-06-01,20660.5238095238
2018-07-01,19729.7954545455
2018-08-01,19228.7727272727
2018-09-01,18967.125
2018-10-01,19121.4782608696
2018-11-01,19064.8636363636
2018-12-01,19259.5789473684
2019-01-01,20457.75
2019-02-01,21263.95
2019-03-01,21393.4047619048
2019-04-01,20604.3
2019-05-01,19523.9047619048
2019-06-01,19193.2
2019-07-01,17977.847826087
2019-08-01,16608.9880952381
2019-09-01,16830.619047619
2019-10-01,16603.3913043478
2019-11-01,16335.4761904762
2019-12-01,17141.05
2020-01-01,17029.1818181818
2020-02-01,16480.3
2020-03-01,15290.9090909091
2020-04-01,14952.8
2020-05-01,15401.9184210526
2020-06-01,16837.8409090909
2020-07-01,17469.9239130435
2020-08-01,17660.360952381
2020-09-01,17951.255
2020-10-01,18176.5877272727
2020-11-01,18522.48
2020-12-01,19731.9557142857
2021-01-01,21920.2375
