DATE,PTINUSDM
1990-01-01,6592.00016466675
1990-02-01,6156.09993710937
1990-03-01,6270.50025783081
1990-04-01,6390.90057890625
1990-05-01,6324.60050771484
1990-06-01,6096.00035966797
1990-07-01,5924.40021498413
1990-08-01,5905.2006175293
1990-09-01,5707.00011245117
1990-10-01,6061.40044733276
1990-11-01,5981.3006444458
1990-12-01,5615.20037615356
1991-01-01,5610.7579
1991-02-01,5582.09810911865
1991-03-01,5515.95950911865
1991-04-01,5557.84715455933
1991-05-01,5698.72202270508
1991-06-01,5709.30444091186
1991-07-01,5673.59979650879
1991-08-01,5647.72000130615
1991-09-01,5575.09564178467
1991-10-01,5550.09115499878
1991-11-01,5514.45042627563
1991-12-01,5515.89492064209
1992-01-01,5483.09137531128
1992-02-01,5612.10012927856
1992-03-01,5637.04540996094
1992-04-01,5836.2497276123
1992-05-01,6113.15801934814
1992-06-01,6631.99994276123
1992-07-01,6980.49985119018
1992-08-01,6784.21076134033
1992-09-01,6643.33320200806
1992-10-01,6025.90907946167
1992-11-01,5735.71439985962
1992-12-01,5765.80926595459
1993-01-01,5913.09992277222
1993-02-01,5792.75006144409
1993-03-01,5666.30466264038
1993-04-01,5596.49999379883
1993-05-01,5505.47363722839
1993-06-01,5115.45443951416
1993-07-01,4978.54537110901
1993-08-01,4819.00006005859
1993-09-01,4510.68192121277
1993-10-01,4687.23822227783
1993-11-01,4643.81828251038
1993-12-01,4781.69987844543
1994-01-01,4950.71412927856
1994-02-01,5442.45008562927
1994-03-01,5405.52162415466
1994-04-01,5383.05257147217
1994-05-01,5493.47632770691
1994-06-01,5497.63622927551
1994-07-01,5300.95254420166
1994-08-01,5173.31831375122
1994-09-01,5318.72715839233
1994-10-01,5479.28570116882
1994-11-01,6139.09096548462
1994-12-01,5935.50001380005
1995-01-01,6187.61911367188
1995-02-01,5431.00009616699
1995-03-01,5516.30431739197
1995-04-01,5854.44416690063
1995-05-01,5924.52400956421
1995-06-01,6646.81828855591
1995-07-01,6640.75033574219
1995-08-01,6966.13631591797
1995-09-01,6333.7498690979
1995-10-01,6209.54555587158
1995-11-01,6381.6664451477
1995-12-01,6275.78978494263
1996-01-01,6257.14255352173
1996-02-01,6189.28563092651
1996-03-01,6205.24974938354
1996-04-01,6467.2502133728
1996-05-01,6401.90484060059
1996-06-01,6183.7498602478
1996-07-01,6245.52201011352
1996-08-01,6109.52357194824
1996-09-01,6093.71419671631
1996-10-01,5933.09072906494
1996-11-01,5993.85704796753
1996-12-01,5826.23784094849
1997-01-01,5871.13625131226
1997-02-01,5874.3158881897
1997-03-01,5901.31588978271
1997-04-01,5707.59082789307
1997-05-01,5704.84985441895
1997-06-01,5560.28570594788
1997-07-01,5435.78267101746
1997-08-01,5423.29993872681
1997-09-01,5493.47632770691
1997-10-01,5556.52174519653
1997-11-01,5650.99988488159
1997-12-01,5506.19050203857
1998-01-01,5200.49997043457
1998-02-01,5236.49997255859
1998-03-01,5468.63633969726
1998-04-01,5707.00011245117
1998-05-01,5868.15778062744
1998-06-01,5967.85682216797
1998-07-01,5651.19028632812
1998-08-01,5690.26295066528
1998-09-01,5479.77280592957
1998-10-01,5424.49987151794
1998-11-01,5477.99998680725
1998-12-01,5262.36833021851
1999-01-01,5102.99996468201
1999-02-01,5262
1999-03-01,5292.95454545455
1999-04-01,5381.75
1999-05-01,5643.15789473684
1999-06-01,5262.72727272727
1999-07-01,5210.45454545455
1999-08-01,5224.28571428571
1999-09-01,5336.81818181818
1999-10-01,5425.2380952381
1999-11-01,5835.22727272727
1999-12-01,5719.11764705882
2000-01-01,5926.25
2000-02-01,5669
2000-03-01,5463.8
2000-04-01,5398.05
2000-05-01,5437.95652173913
2000-06-01,5461.18181818182
2000-07-01,5329.7619047619
2000-08-01,5314.34782608696
2000-09-01,5471.80952380952
2000-10-01,5266.45454545455
2000-11-01,5264.81818181818
2000-12-01,5227.4
2001-01-01,5168.5
2001-02-01,5121.25
2001-03-01,5049.63636363636
